Date,Lo 10,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Hi 10
1/1/1927,0.999906,1.000208,1.000834,1.00048,0.999938,1.000616,1.000296,1.000128,0.999882,1.000236
2/1/1927,1.00160384,1.000984161,1.002501389,1.001998729,1.000895941,1.001710674,1.00137632,1.00098811,1.001033864,1.001352263
3/1/1927,1.000371868,0.999961156,1.002024199,1.001678089,1.000569649,1.001370092,1.001474455,1.000681808,1.001107941,1.001196052
4/1/1927,1.000894062,0.999775163,1.002044239,1.001437686,1.000587659,1.001450202,1.001728829,1.00056773,1.001552432,1.00208111
5/1/1927,1.001118262,1.000520995,1.003248696,1.002473173,1.002098546,1.003306891,1.003053115,1.002210662,1.002936578,1.004085272
6/1/1927,0.999718699,1.00030088,1.002857429,1.002080203,1.001585472,1.003332977,1.002768247,1.002026255,1.002471215,1.00354909
7/1/1927,1.001106308,1.001159139,1.003904413,1.003318775,1.002679203,1.004296176,1.004264378,1.00294812,1.003608018,1.005455834
8/1/1927,1.000635788,1.001805887,1.003693593,1.003334828,1.002990034,1.004444812,1.004650015,1.003080509,1.003702357,1.005142131
9/1/1927,1.000523717,1.002673451,1.003912398,1.003870608,1.003280901,1.005180066,1.00535327,1.003782665,1.005199881,1.005827638
10/1/1927,0.999189018,1.001773051,1.002902462,1.002935001,1.002967877,1.004572937,1.004637459,1.00355581,1.004321336,1.004924405
11/1/1927,1.005130196,1.003684434,1.004551234,1.004686126,1.004357991,1.006387196,1.006236842,1.005006952,1.005898121,1.006598609
12/1/1927,1.005990588,1.003871119,1.004878717,1.005564221,1.005302087,1.007178216,1.006554812,1.005310464,1.006785323,1.007585076
1/1/1928,1.006664602,1.004493519,1.005541937,1.007205302,1.005726325,1.007156058,1.007235243,1.005332581,1.006932313,1.009483366
2/1/1928,1.006710908,1.003969173,1.004644994,1.007072351,1.005468859,1.007004985,1.006687307,1.004532336,1.006283849,1.008387067
3/1/1928,1.008150505,1.005208071,1.00629864,1.007902179,1.006572863,1.008592024,1.007889292,1.006031098,1.007823463,1.01076081
4/1/1928,1.009686926,1.007246633,1.00936785,1.010619483,1.008052525,1.011609732,1.008604894,1.00685202,1.00859344,1.012406329
5/1/1928,1.012534243,1.007359445,1.009941171,1.010643738,1.008586793,1.011814077,1.00928671,1.007566885,1.009495123,1.013554398
6/1/1928,1.010598278,1.006013613,1.008430299,1.009471391,1.007265545,1.010984389,1.007895913,1.006005156,1.008170665,1.012113123
7/1/1928,1.010117233,1.005949228,1.008220546,1.009483505,1.007223239,1.011170411,1.008276898,1.005940772,1.0084711,1.012497726
8/1/1928,1.011060682,1.006804285,1.009273128,1.009982189,1.008566875,1.012800417,1.009299291,1.007634776,1.010250043,1.013911173
9/1/1928,1.012007035,1.008105076,1.009915026,1.010466981,1.009212358,1.013703835,1.010750663,1.008616212,1.011494671,1.015594266
10/1/1928,1.011974651,1.007873212,1.010236179,1.01046496,1.009178045,1.013843726,1.010954835,1.009172968,1.01210966,1.017479209
11/1/1928,1.013786086,1.010265903,1.012024297,1.012592999,1.0112953,1.016581104,1.01396748,1.010985443,1.014569087,1.021323245
12/1/1928,1.012652673,1.010039603,1.012246942,1.012433009,1.011042477,1.017107693,1.014237196,1.011137091,1.014593436,1.021204772
1/1/1929,1.012990899,1.010532502,1.0126154,1.01287443,1.01178256,1.017575563,1.015227091,1.012053181,1.015804861,1.021762349
2/1/1929,1.012182532,1.010574945,1.012880705,1.012872405,1.011570085,1.017715988,1.015602725,1.012176652,1.016306668,1.022528671
3/1/1929,1.011081277,1.010045403,1.012159534,1.012416612,1.01113511,1.017052438,1.014463219,1.011707002,1.015467199,1.022698411
4/1/1929,1.010278479,1.010538306,1.012736465,1.012262725,1.011315092,1.017333144,1.015039434,1.012113708,1.015918066,1.023314075
5/1/1929,1.007534563,1.008038234,1.011405729,1.010481142,1.010253211,1.015813248,1.01364883,1.010490277,1.013951249,1.020804909
6/1/1929,1.008300289,1.009171269,1.012156193,1.011728076,1.011168501,1.017363379,1.015260532,1.012632517,1.016968768,1.023465127
7/1/1929,1.008221641,1.008757509,1.012557006,1.011796873,1.011720599,1.018295284,1.015554957,1.013252248,1.01767251,1.023786495
8/1/1929,1.007548149,1.008664703,1.012638011,1.011649151,1.011941154,1.019004018,1.017088445,1.014583661,1.019262115,1.024965897
9/1/1929,1.006129522,1.007064961,1.011461326,1.010858041,1.011058741,1.018231613,1.016413098,1.013776053,1.018679097,1.024758854
10/1/1929,1.001614012,1.002561366,1.007197005,1.006705437,1.008061963,1.014834792,1.013132117,1.009952089,1.014447504,1.01916572
11/1/1929,0.999374403,0.999864476,1.004763617,1.005078601,1.005610356,1.013219175,1.010903226,1.007810991,1.011631398,1.015900313
12/1/1929,0.996720065,0.99791874,1.004046215,1.004608224,1.005332808,1.012783491,1.01019155,1.008054881,1.01194905,1.016820719
1/1/1930,1.001633895,1.002131953,1.006937869,1.006484832,1.007106215,1.014177081,1.011856346,1.00928874,1.012944808,1.017768396
2/1/1930,1.002583444,1.003075961,1.007721266,1.007114892,1.007416404,1.014631432,1.01237644,1.009625843,1.013410762,1.0185419
3/1/1930,1.00746001,1.005836426,1.00989996,1.008732318,1.00968712,1.016159467,1.013816039,1.011099897,1.014596453,1.020124714
4/1/1930,1.006527102,1.005341555,1.008045783,1.007209132,1.008527999,1.015255085,1.012394669,1.010323372,1.014618774,1.019557524
5/1/1930,1.004562361,1.003845606,1.007324022,1.006407394,1.008164929,1.014392118,1.012060579,1.009884892,1.014511225,1.019039589
6/1/1930,0.999617905,0.999282124,1.002869636,1.002607199,1.004134286,1.010939128,1.009190375,1.007461168,1.011526533,1.014814651
7/1/1930,1.000629518,1.0001515,1.003742132,1.002567095,1.005475809,1.011966242,1.010013875,1.007896391,1.011969581,1.015758429
8/1/1930,0.999248649,0.999647423,1.003358703,1.001855273,1.005447656,1.011549312,1.010005795,1.007525485,1.012173999,1.015855942
9/1/1930,0.99488593,0.995646834,0.999269013,0.998683399,1.002433324,1.008771597,1.007309079,1.005262583,1.010082848,1.013868927
10/1/1930,0.992814577,0.992864997,0.996782831,0.995877098,1.000422443,1.007064756,1.006162761,1.0035657,1.008608127,1.012305541
11/1/1930,0.992856276,0.99283124,0.996093058,0.995506632,0.999822189,1.006567266,1.005510768,1.002857182,1.008416491,1.012145597
12/1/1930,0.987905894,0.989084295,0.992564896,0.992534049,0.996632757,1.004336713,1.002832087,1.001096165,1.007125718,1.01093912
1/1/1931,0.993491514,0.993976305,0.995957483,0.995410413,0.999237955,1.0066266,1.004972131,1.002399592,1.008128815,1.013292586
2/1/1931,0.998480828,0.999236428,0.999437358,0.999037689,1.002945127,1.009654533,1.007635307,1.004426444,1.009653106,1.014727408
3/1/1931,0.996244231,0.99699614,0.997786288,0.998556152,1.001426668,1.008253133,1.00575506,1.003450142,1.009012986,1.015125181
4/1/1931,0.991601733,0.993191603,0.993857005,0.995017269,0.998282189,1.005117465,1.002832335,1.001419159,1.006867824,1.013383227
5/1/1931,0.988111295,0.98933206,0.990746233,0.992060078,0.995151576,1.002045826,1.000329266,0.999097869,1.004862144,1.011745599
6/1/1931,0.993522193,0.995378858,0.994956904,0.996331889,0.999737234,1.005747384,1.003184206,1.001385803,1.007016568,1.013483778
7/1/1931,0.991193377,0.993272636,0.992929182,0.994247562,0.997941706,1.004777843,1.002158951,1.001067363,1.006271376,1.012908119
8/1/1931,0.991401527,0.992480005,0.992845776,0.993398475,0.997225184,1.004548754,1.001844273,1.000386637,1.006265338,1.01277239
9/1/1931,0.984727412,0.984865698,0.985528503,0.987432124,0.99072527,0.99879068,0.995566717,0.994480354,1.001185711,1.00753028
10/1/1931,0.986098153,0.987150586,0.988055398,0.990015246,0.991997362,1.000049157,0.998296561,0.995683675,1.004139208,1.010240536
11/1/1931,0.983413993,0.984591892,0.985725563,0.987726331,0.990318902,0.998617086,0.996956847,0.993903393,1.002966374,1.009525286
12/1/1931,0.978070122,0.979621672,0.981009852,0.983706285,0.986450716,0.994708499,0.993798488,0.991464354,0.999869214,1.007948407
1/1/1932,0.9842437,0.981539771,0.982677569,0.985175942,0.989096377,0.996286107,0.994134392,0.991787571,1.000401144,1.008589463
2/1/1932,0.983808665,0.981820492,0.983106016,0.984574985,0.989418823,0.99714092,0.994824321,0.992701999,1.001393542,1.009150238
3/1/1932,0.979808499,0.978627612,0.980288435,0.982160807,0.987333128,0.994317017,0.992597904,0.990883369,0.99982536,1.007967514
4/1/1932,0.975397401,0.974390154,0.9767045,0.978395202,0.983239645,0.990634067,0.988961025,0.987704616,0.996783891,1.005695556
5/1/1932,0.971062735,0.969849496,0.972619922,0.974434658,0.978614485,0.986824088,0.985125835,0.983899977,0.992794762,1.002296305
6/1/1932,0.9717988,0.971098662,0.973460265,0.975748196,0.979352361,0.987382631,0.984859851,0.984321087,0.994228358,1.003298601
7/1/1932,0.985289311,0.98564572,0.98385098,0.988633927,0.987862933,0.994993376,0.990591735,0.990295916,0.998157548,1.005857012
8/1/1932,1.007751937,1.008006079,0.998498554,1.003892503,1.002817202,1.007406913,1.000010281,0.997374551,1.005693638,1.012117466
9/1/1932,1.005659844,1.0074799,0.996829064,1.002298322,1.001260829,1.007126854,0.998578266,0.995874499,1.00475432,1.011639747
10/1/1932,1.002017344,1.004562238,0.992612477,0.998906544,0.998313118,1.003908077,0.995500648,0.992781313,1.001239689,1.00789061
11/1/1932,1.000087459,1.003264343,0.992638285,0.996898742,0.996825631,1.002570871,0.993911829,0.992008929,0.999775877,1.00629008
12/1/1932,0.998067282,1.002112596,0.991457045,0.996105211,0.996004247,1.001977349,0.993371141,0.99168355,0.999909847,1.006239765
1/1/1933,0.998554339,1.003287072,0.992755854,0.997320459,0.996625753,1.002558496,0.99421948,0.992472931,1.00097575,1.005559547
2/1/1933,0.994777806,1.000070534,0.988782845,0.993379049,0.993679728,0.99928013,0.991147342,0.989842877,0.998397237,1.003226649
3/1/1933,0.996021279,1.002264688,0.991082754,0.994734018,0.996444145,1.00201416,0.993024575,0.99139891,1.000719509,1.005662483
4/1/1933,1.007162773,1.014640653,1.001711126,1.007287561,1.00536232,1.012747736,1.002488099,1.002778187,1.009221622,1.014620925
5/1/1933,1.022920841,1.029561958,1.015759122,1.020988686,1.015313396,1.02300282,1.014999151,1.014047408,1.017069329,1.025935977
6/1/1933,1.029279317,1.034454437,1.020618514,1.026097714,1.018948218,1.027068233,1.019099747,1.017957575,1.022571674,1.029177935
7/1/1933,1.027467786,1.032114501,1.018893669,1.023975744,1.016904208,1.025297567,1.016660022,1.016693272,1.020054103,1.027269839
8/1/1933,1.02846032,1.032843173,1.021510188,1.026386183,1.019631545,1.028432927,1.019498537,1.019635582,1.022604238,1.029486687
9/1/1933,1.024103762,1.029360426,1.018053397,1.023109958,1.016721516,1.026497416,1.016501212,1.016845859,1.01982889,1.026363225
10/1/1933,1.022170254,1.027157595,1.015838113,1.020955288,1.014102442,1.024300712,1.014338097,1.01433425,1.017628099,1.024125753
11/1/1933,1.022233628,1.027716369,1.017412662,1.02306254,1.015583031,1.025597477,1.016271425,1.016555642,1.01858467,1.025401814
12/1/1933,1.021884024,1.027438885,1.018012936,1.023612948,1.016027857,1.025841569,1.017029564,1.017313992,1.019120445,1.025998597
1/1/1934,1.030657921,1.03543236,1.024939496,1.029926592,1.0225853,1.03175452,1.022265232,1.022884804,1.026352124,1.031461014
2/1/1934,1.030697086,1.03550484,1.02519983,1.030287067,1.022836856,1.031839123,1.022434928,1.022839797,1.026380862,1.032240798
3/1/1934,1.030457964,1.035548331,1.025817001,1.030252037,1.022822537,1.031620374,1.022895024,1.023181425,1.026501975,1.032705307
4/1/1934,1.030699091,1.035457203,1.026500195,1.030449845,1.022877769,1.031843204,1.022487912,1.023310346,1.026331576,1.03188947
5/1/1934,1.028860324,1.033562316,1.024601169,1.028545574,1.020623347,1.029304869,1.02006257,1.020799143,1.023568691,1.029334511
6/1/1934,1.028446722,1.033541645,1.024603219,1.028662828,1.020815224,1.029465441,1.020409392,1.021354457,1.023118321,1.029287162
7/1/1934,1.023828996,1.028799756,1.020025291,1.02442268,1.016862627,1.025714069,1.016321631,1.018823541,1.020386595,1.025612607
8/1/1934,1.025223451,1.031087807,1.022679397,1.026432597,1.018617732,1.027587023,1.018277034,1.020602407,1.022653894,1.028104845
9/1/1934,1.024788757,1.030510397,1.022200783,1.026214994,1.018240844,1.027543864,1.018097818,1.020788157,1.022510722,1.027878662
10/1/1934,1.023630745,1.029115086,1.021115206,1.025508958,1.017511783,1.027274648,1.018199627,1.021180139,1.022909501,1.028279535
11/1/1934,1.026255335,1.031568497,1.023592431,1.028251169,1.019668908,1.030035962,1.021003749,1.024411153,1.025955726,1.031062059
12/1/1934,1.026674047,1.030836083,1.023709121,1.028374559,1.019915668,1.03025845,1.02114669,1.024843455,1.026842152,1.032443683
1/1/1935,1.025899934,1.030062956,1.022709981,1.027989947,1.019505662,1.029273522,1.020456394,1.024287989,1.02615006,1.031979083
2/1/1935,1.022071276,1.027568144,1.020482519,1.026544593,1.017858141,1.028787705,1.020338022,1.024341252,1.026410702,1.032208182
3/1/1935,1.019708247,1.025377368,1.018902812,1.024507928,1.016616354,1.027084033,1.018968728,1.023607824,1.02539045,1.031213134
4/1/1935,1.021678323,1.029144605,1.020889672,1.026653248,1.019247357,1.029318968,1.020189452,1.025038828,1.027082344,1.032582585
5/1/1935,1.022800126,1.029358667,1.021683924,1.027088549,1.019999561,1.02982951,1.020413894,1.025118781,1.027462365,1.033127788
